cause_of_death,date,quarter,Date-month,Year,dead,location,latitude,longitude,"latitude, longitude"
asphyxiated,2000-09-15T00:00:00Z,3Q2000,2000 -- 9,2000,0,korinthos,37.938637,22.932238,"37.938637, 22.932238"
asphyxiated,2000-06-18T00:00:00Z,2Q2000,2000 -- 6,2000,0,dover,51.127876,3.1,"51.127876, 3.1"
asphyxiated,2000-12-31T00:00:00Z,4Q2000,2000 -- 12,2000,0,brindisi,40.632728,17.941762,"40.632728, 17.941762"
asphyxiated,2000-12-14T00:00:00Z,4Q2000,2000 -- 12,2000,0,sweden,60.128161,18.643501,"60.128161, 18.643501"
asphyxiated,2000-10-25T00:00:00Z,4Q2000,2000 -- 10,2000,0,Greece to Italy,39.587628,18.94043,"39.587628, 18.94043"
asphyxiated,2000-10-17T00:00:00Z,4Q2000,2000 -- 10,2000,0,foggia,41.462198,15.54463,"41.462198, 15.54463"
asphyxiated,2000-10-17T00:00:00Z,4Q2000,2000 -- 10,2000,0,foggia,41.462198,15.54463,"41.462198, 15.54463"
asphyxiated,2000-01-11T00:00:00Z,1Q2000,2000 -- 1,2000,0,sweden,60.128161,18.643501,"60.128161, 18.643501"
asphyxiated,2000-01-05T00:00:00Z,1Q2000,2000 -- 1,2000,0,Africa to Spain,35.010802,-7.514648,"35.010802, -7.514648"
drowned,2000-09-11T00:00:00Z,3Q2000,2000 -- 9,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
drowned,2000-09-01T00:00:00Z,3Q2000,2000 -- 9,2000,0,Albania to Italy,40.350451,18.830566,"40.350451, 18.830566"
drowned,2000-08-28T00:00:00Z,3Q2000,2000 -- 8,2000,0,sava,40.403712,17.557323,"40.403712, 17.557323"
drowned,2000-08-27T00:00:00Z,3Q2000,2000 -- 8,2000,0,capo,38.158524,14.742693,"38.158524, 14.742693"
drowned,2000-08-27T00:00:00Z,3Q2000,2000 -- 8,2000,0,genschmar,52.618489,14.545038,"52.618489, 14.545038"
drowned,2000-08-25T00:00:00Z,3Q2000,2000 -- 8,2000,0,kos,36.799851,27.102943,"36.799851, 27.102943"
drowned,2000-08-25T00:00:00Z,3Q2000,2000 -- 8,2000,0,kos,36.799851,27.102943,"36.799851, 27.102943"
drowned,2000-08-12T00:00:00Z,3Q2000,2000 -- 8,2000,0,Almeria,36.834047,-2.463714,"36.834047, -2.463714"
drowned,2000-08-11T00:00:00Z,3Q2000,2000 -- 8,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-08-07T00:00:00Z,3Q2000,2000 -- 8,2000,0,bari,41.117143,16.871871,"41.117143, 16.871871"
drowned,2000-08-07T00:00:00Z,3Q2000,2000 -- 8,2000,0,bari,41.117143,16.871871,"41.117143, 16.871871"
drowned,2000-08-02T00:00:00Z,3Q2000,2000 -- 8,2000,0,frankfurt,50.110922,8.682127,"50.110922, 8.682127"
drowned,2000-07-26T00:00:00Z,3Q2000,2000 -- 7,2000,0,arinaga,27.858484,-15.394362,"27.858484, -15.394362"
drowned,2000-07-23T00:00:00Z,3Q2000,2000 -- 7,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-07-23T00:00:00Z,3Q2000,2000 -- 7,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-07-23T00:00:00Z,3Q2000,2000 -- 7,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
drowned,2000-07-22T00:00:00Z,3Q2000,2000 -- 7,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-07-22T00:00:00Z,3Q2000,2000 -- 7,2000,0,algeciras,36.132977,-5.453909,"36.132977, -5.453909"
drowned,2000-07-21T00:00:00Z,3Q2000,2000 -- 7,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-07-17T00:00:00Z,3Q2000,2000 -- 7,2000,0,barbate,36.19002,-5.92248,"36.19002, -5.92248"
drowned,2000-07-12T00:00:00Z,3Q2000,2000 -- 7,2000,0,bojador,26.133333,-14.466667,"26.133333, -14.466667"
drowned,2000-07-12T00:00:00Z,3Q2000,2000 -- 7,2000,0,bojador,26.133333,-14.466667,"26.133333, -14.466667"
drowned,2000-07-04T00:00:00Z,3Q2000,2000 -- 7,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-07-04T00:00:00Z,3Q2000,2000 -- 7,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-07-04T00:00:00Z,3Q2000,2000 -- 7,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-07-04T00:00:00Z,3Q2000,2000 -- 7,2000,0,kienitz,52.643661,14.361496,"52.643661, 14.361496"
drowned,2000-06-05T00:00:00Z,2Q2000,2000 -- 6,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
drowned,2000-05-18T00:00:00Z,2Q2000,2000 -- 5,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-05-13T00:00:00Z,2Q2000,2000 -- 5,2000,0,gibraltar,36.140751,-5.353585,"36.140751, -5.353585"
drowned,2000-05-13T00:00:00Z,2Q2000,2000 -- 5,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
drowned,2000-05-13T00:00:00Z,2Q2000,2000 -- 5,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
drowned,2000-05-10T00:00:00Z,2Q2000,2000 -- 5,2000,0,sava,40.403712,17.557323,"40.403712, 17.557323"
drowned,2000-05-08T00:00:00Z,2Q2000,2000 -- 5,2000,0,morocco,31.791702,-7.09262,"31.791702, -7.09262"
drowned,2000-05-08T00:00:00Z,2Q2000,2000 -- 5,2000,0,morocco,31.791702,-7.09262,"31.791702, -7.09262"
drowned,2000-05-07T00:00:00Z,2Q2000,2000 -- 5,2000,0,tanger,35.766667,-5.8,"35.766667, -5.8"
drowned,2000-05-07T00:00:00Z,2Q2000,2000 -- 5,2000,0,Marocco to Spain,35.964373,-5.196533,"35.964373, -5.196533"
drowned,2000-05-06T00:00:00Z,2Q2000,2000 -- 5,2000,0,kienitz,52.643661,14.361496,"52.643661, 14.361496"
drowned,2000-05-04T00:00:00Z,2Q2000,2000 -- 5,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
drowned,2000-05-04T00:00:00Z,2Q2000,2000 -- 5,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
drowned,2000-05-01T00:00:00Z,2Q2000,2000 -- 5,2000,0,neisse,50.482286,17.329586,"50.482286, 17.329586"
drowned,2000-04-30T00:00:00Z,2Q2000,2000 -- 4,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-04-29T00:00:00Z,2Q2000,2000 -- 4,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-04-29T00:00:00Z,2Q2000,2000 -- 4,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
drowned,2000-04-29T00:00:00Z,2Q2000,2000 -- 4,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
drowned,2000-04-28T00:00:00Z,2Q2000,2000 -- 4,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-04-28T00:00:00Z,2Q2000,2000 -- 4,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-04-22T00:00:00Z,2Q2000,2000 -- 4,2000,0,evros,41.244376,26.135943,"41.244376, 26.135943"
drowned,2000-04-21T00:00:00Z,2Q2000,2000 -- 4,2000,0,melilla,35.292278,-2.938097,"35.292278, -2.938097"
drowned,2000-04-19T00:00:00Z,2Q2000,2000 -- 4,2000,1,lanzarote,29.046854,-13.589973,"29.046854, -13.589973"
drowned,2000-04-18T00:00:00Z,2Q2000,2000 -- 4,2000,0,italian coast,44.348399,9.234647,"44.348399, 9.234647"
drowned,2000-04-14T00:00:00Z,2Q2000,2000 -- 4,2000,0,canary,28.291564,-16.62913,"28.291564, -16.62913"
drowned,2000-04-14T00:00:00Z,2Q2000,2000 -- 4,2000,0,lanzarote,29.046854,-13.589973,"29.046854, -13.589973"
drowned,2000-04-13T00:00:00Z,2Q2000,2000 -- 4,2000,0,poland,51.919438,19.145136,"51.919438, 19.145136"
drowned,2000-04-12T00:00:00Z,2Q2000,2000 -- 4,2000,0,genova,44.40565,8.946256,"44.40565, 8.946256"
drowned,2000-04-11T00:00:00Z,2Q2000,2000 -- 4,2000,0,castillejos,35.844609,-5.367784,"35.844609, -5.367784"
drowned,2000-04-11T00:00:00Z,2Q2000,2000 -- 4,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-04-11T00:00:00Z,2Q2000,2000 -- 4,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-03-31T00:00:00Z,1Q2000,2000 -- 3,2000,0,gibraltar,36.140751,-5.353585,"36.140751, -5.353585"
drowned,2000-03-24T00:00:00Z,1Q2000,2000 -- 3,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-03-24T00:00:00Z,1Q2000,2000 -- 3,2000,0,kos,36.799851,27.102943,"36.799851, 27.102943"
drowned,2000-03-23T00:00:00Z,1Q2000,2000 -- 3,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
drowned,2000-03-21T00:00:00Z,1Q2000,2000 -- 3,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-03-21T00:00:00Z,1Q2000,2000 -- 3,2000,0,morava,49.195098,16.60673,"49.195098, 16.60673"
drowned,2000-03-19T00:00:00Z,1Q2000,2000 -- 3,2000,0,brindisi,40.632728,17.941762,"40.632728, 17.941762"
drowned,2000-03-08T00:00:00Z,1Q2000,2000 -- 3,2000,0,"Bahia Plata, Spain",36.098208,-5.820705,"36.098208, -5.820705"
drowned,2000-03-07T00:00:00Z,1Q2000,2000 -- 3,2000,0,frankfurt,50.110922,8.682127,"50.110922, 8.682127"
drowned,2000-03-05T00:00:00Z,1Q2000,2000 -- 3,2000,0,bari,41.117143,16.871871,"41.117143, 16.871871"
drowned,2000-03-04T00:00:00Z,1Q2000,2000 -- 3,2000,0,canaries,28.291564,-16.62913,"28.291564, -16.62913"
drowned,2000-02-29T00:00:00Z,1Q2000,2000 -- 2,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
drowned,2000-02-18T00:00:00Z,1Q2000,2000 -- 2,2000,0,canary,28.291564,-16.62913,"28.291564, -16.62913"
drowned,2000-02-15T00:00:00Z,1Q2000,2000 -- 2,2000,0,lecce,40.351516,18.175016,"40.351516, 18.175016"
drowned,2000-02-14T00:00:00Z,1Q2000,2000 -- 2,2000,0,bolonia,44.494887,11.342616,"44.494887, 11.342616"
drowned,2000-02-04T00:00:00Z,1Q2000,2000 -- 2,2000,0,scicli,36.793212,14.706973,"36.793212, 14.706973"
drowned,2000-02-04T00:00:00Z,1Q2000,2000 -- 2,2000,0,"Porajow, poland",50.887047,14.828072,"50.887047, 14.828072"
drowned,2000-12-31T00:00:00Z,4Q2000,2000 -- 12,2000,0,antalya,36.88414,30.70563,"36.88414, 30.70563"
drowned,2000-12-31T00:00:00Z,4Q2000,2000 -- 12,2000,0,antalya,36.88414,30.70563,"36.88414, 30.70563"
drowned,2000-12-31T00:00:00Z,4Q2000,2000 -- 12,2000,0,lesbos,39.16408,26.372171,"39.16408, 26.372171"
drowned,2000-12-31T00:00:00Z,4Q2000,2000 -- 12,2000,0,lesbos,39.16408,26.372171,"39.16408, 26.372171"
drowned,2000-12-21T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-12-20T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-12-20T00:00:00Z,4Q2000,2000 -- 12,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
drowned,2000-12-20T00:00:00Z,4Q2000,2000 -- 12,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
drowned,2000-12-20T00:00:00Z,4Q2000,2000 -- 12,2000,0,bolonia,44.494887,11.342616,"44.494887, 11.342616"
drowned,2000-12-16T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-12-15T00:00:00Z,4Q2000,2000 -- 12,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-12-15T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-12-15T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-12-15T00:00:00Z,4Q2000,2000 -- 12,2000,0,algeciras,36.132977,-5.453909,"36.132977, -5.453909"
drowned,2000-12-14T00:00:00Z,4Q2000,2000 -- 12,2000,0,Almeria,36.834047,-2.463714,"36.834047, -2.463714"
drowned,2000-12-13T00:00:00Z,4Q2000,2000 -- 12,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-12-13T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-12-09T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-12-08T00:00:00Z,4Q2000,2000 -- 12,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-12-07T00:00:00Z,4Q2000,2000 -- 12,2000,0,almeria,36.834047,-2.463714,"36.834047, -2.463714"
drowned,2000-12-04T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-11-24T00:00:00Z,4Q2000,2000 -- 11,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-11-10T00:00:00Z,4Q2000,2000 -- 11,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-10-29T00:00:00Z,4Q2000,2000 -- 10,2000,0,ragusa,36.926927,14.725513,"36.926927, 14.725513"
drowned,2000-10-23T00:00:00Z,4Q2000,2000 -- 10,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-10-23T00:00:00Z,4Q2000,2000 -- 10,2000,0,almeria,36.834047,-2.463714,"36.834047, -2.463714"
drowned,2000-10-06T00:00:00Z,4Q2000,2000 -- 10,2000,0,breesen,53.629738,13.163799,"53.629738, 13.163799"
drowned,2000-01-12T00:00:00Z,1Q2000,2000 -- 1,2000,0,vega,28.009757,-15.53205,"28.009757, -15.53205"
drowned,2000-01-12T00:00:00Z,1Q2000,2000 -- 1,2000,0,genova,44.40565,8.946256,"44.40565, 8.946256"
drowned,2000-01-11T00:00:00Z,1Q2000,2000 -- 1,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-01-11T00:00:00Z,1Q2000,2000 -- 1,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-01-10T00:00:00Z,1Q2000,2000 -- 1,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-01-10T00:00:00Z,1Q2000,2000 -- 1,2000,0,"Patelleria, italy",36.828221,11.940496,"36.828221, 11.940496"
drowned,2000-01-07T00:00:00Z,1Q2000,2000 -- 1,2000,0,Marocco to Spain,35.964373,-5.196533,"35.964373, -5.196533"
drowned,2000-01-07T00:00:00Z,1Q2000,2000 -- 1,2000,0,aegean,37.075546,25.520736,"37.075546, 25.520736"
drowned,2000-01-06T00:00:00Z,1Q2000,2000 -- 1,2000,0,fuerteventura,28.358744,-14.053676,"28.358744, -14.053676"
drowned,2000-01-06T00:00:00Z,1Q2000,2000 -- 1,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-01-05T00:00:00Z,1Q2000,2000 -- 1,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-01-04T00:00:00Z,1Q2000,2000 -- 1,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-01-04T00:00:00Z,1Q2000,2000 -- 1,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2000-01-04T00:00:00Z,1Q2000,2000 -- 1,2000,0,sava,40.403712,17.557323,"40.403712, 17.557323"
drowned,2000-01-03T00:00:00Z,1Q2000,2000 -- 1,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
drowned,2000-01-03T00:00:00Z,1Q2000,2000 -- 1,2000,0,gibraltar,36.140751,-5.353585,"36.140751, -5.353585"
drowned,2000-01-03T00:00:00Z,1Q2000,2000 -- 1,2000,0,gibraltar,36.140751,-5.353585,"36.140751, -5.353585"
drowned,2000-01-02T00:00:00Z,1Q2000,2000 -- 1,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
drowned,2000-01-01T00:00:00Z,1Q2000,2000 -- 1,2000,0,ayun,27.153611,-13.203333,"27.153611, -13.203333"
hypothermia,2000-12-30T00:00:00Z,4Q2000,2000 -- 12,2000,0,bulgaria,42.733883,25.48583,"42.733883, 25.48583"
hypothermia,2000-12-26T00:00:00Z,4Q2000,2000 -- 12,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
hypothermia,2000-01-13T00:00:00Z,1Q2000,2000 -- 1,2000,0,bulgaria,42.733883,25.48583,"42.733883, 25.48583"
shot by the police,2000-05-15T00:00:00Z,2Q2000,2000 -- 5,2000,0,dogubayazit,39.54864,44.074207,"39.54864, 44.074207"
shot by the police,2000-03-11T00:00:00Z,1Q2000,2000 -- 3,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
shot by the police,2000-12-18T00:00:00Z,4Q2000,2000 -- 12,2000,0,croatia,45.1,15.2,"45.1, 15.2"
shot by the police,2000-01-10T00:00:00Z,1Q2000,2000 -- 1,2000,0,kastoria,40.519269,21.268717,"40.519269, 21.268717"
shot by the police,2000-01-10T00:00:00Z,1Q2000,2000 -- 1,2000,0,florina,40.784526,21.413122,"40.784526, 21.413122"
unknown,2000-09-28T00:00:00Z,3Q2000,2000 -- 9,2000,0,frankfurt,50.110922,8.682127,"50.110922, 8.682127"
unknown,2000-09-21T00:00:00Z,3Q2000,2000 -- 9,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-09-16T00:00:00Z,3Q2000,2000 -- 9,2000,0,"Skhirat, Morocco",33.85,-7.03,"33.85, -7.03"
unknown,2000-09-10T00:00:00Z,3Q2000,2000 -- 9,2000,0,"pristina, kosovo",42.672421,21.164539,"42.672421, 21.164539"
unknown,2000-09-05T00:00:00Z,3Q2000,2000 -- 9,2000,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
unknown,2000-08-31T00:00:00Z,3Q2000,2000 -- 8,2000,0,evros,41.244376,26.135943,"41.244376, 26.135943"
unknown,2000-08-11T00:00:00Z,3Q2000,2000 -- 8,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-08-11T00:00:00Z,3Q2000,2000 -- 8,2000,4,almeria,36.834047,-2.463714,"36.834047, -2.463714"
unknown,2000-08-08T00:00:00Z,3Q2000,2000 -- 8,2000,2,bari,41.117143,16.871871,"41.117143, 16.871871"
unknown,2000-08-08T00:00:00Z,3Q2000,2000 -- 8,2000,0,sada,43.355524,-8.255738,"43.355524, -8.255738"
unknown,2000-08-07T00:00:00Z,3Q2000,2000 -- 8,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-08-07T00:00:00Z,3Q2000,2000 -- 8,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-08-06T00:00:00Z,3Q2000,2000 -- 8,2000,0,malaga,36.721261,-4.421266,"36.721261, -4.421266"
unknown,2000-08-06T00:00:00Z,3Q2000,2000 -- 8,2000,0,italian coast,44.348399,9.234647,"44.348399, 9.234647"
unknown,2000-08-03T00:00:00Z,3Q2000,2000 -- 8,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-07-23T00:00:00Z,3Q2000,2000 -- 7,2000,0,algeciras,36.132977,-5.453909,"36.132977, -5.453909"
unknown,2000-07-09T00:00:00Z,3Q2000,2000 -- 7,2000,0,almeria,36.834047,-2.463714,"36.834047, -2.463714"
unknown,2000-07-09T00:00:00Z,3Q2000,2000 -- 7,2000,0,lecce,40.351516,18.175016,"40.351516, 18.175016"
unknown,2000-07-06T00:00:00Z,3Q2000,2000 -- 7,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-07-03T00:00:00Z,3Q2000,2000 -- 7,2000,0,berlin,52.520007,13.404954,"52.520007, 13.404954"
unknown,2000-06-13T00:00:00Z,2Q2000,2000 -- 6,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-06-05T00:00:00Z,2Q2000,2000 -- 6,2000,0,lecce,40.351516,18.175016,"40.351516, 18.175016"
unknown,2000-05-07T00:00:00Z,2Q2000,2000 -- 5,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
unknown,2000-05-04T00:00:00Z,2Q2000,2000 -- 5,2000,0,laayoun,27.153611,-13.203333,"27.153611, -13.203333"
unknown,2000-04-30T00:00:00Z,2Q2000,2000 -- 4,2000,0,gibraltar,36.140751,-5.353585,"36.140751, -5.353585"
unknown,2000-04-18T00:00:00Z,2Q2000,2000 -- 4,2000,0,lecce,40.351516,18.175016,"40.351516, 18.175016"
unknown,2000-04-13T00:00:00Z,2Q2000,2000 -- 4,2000,0,almeria,36.834047,-2.463714,"36.834047, -2.463714"
unknown,2000-04-13T00:00:00Z,2Q2000,2000 -- 4,2000,0,genoa,44.40565,8.946256,"44.40565, 8.946256"
unknown,2000-04-04T00:00:00Z,2Q2000,2000 -- 4,2000,0,wien,48.208174,16.373819,"48.208174, 16.373819"
unknown,2000-04-03T00:00:00Z,2Q2000,2000 -- 4,2000,0,carboneras,36.999117,-1.892141,"36.999117, -1.892141"
unknown,2000-04-02T00:00:00Z,2Q2000,2000 -- 4,2000,0,"Olbernhaus, germany",50.656873,13.341127,"50.656873, 13.341127"
unknown,2000-03-23T00:00:00Z,1Q2000,2000 -- 3,2000,0,"Nassau-Frauenstein, germany",50.767197,13.532895,"50.767197, 13.532895"
unknown,2000-03-10T00:00:00Z,1Q2000,2000 -- 3,2000,0,slovakia,48.669026,19.699024,"48.669026, 19.699024"
unknown,2000-03-03T00:00:00Z,1Q2000,2000 -- 3,2000,0,almeria,36.834047,-2.463714,"36.834047, -2.463714"
unknown,2000-02-27T00:00:00Z,1Q2000,2000 -- 2,2000,0,italian coast,44.348399,9.234647,"44.348399, 9.234647"
unknown,2000-12-26T00:00:00Z,4Q2000,2000 -- 12,2000,0,brindisi,40.632728,17.941762,"40.632728, 17.941762"
unknown,2000-12-20T00:00:00Z,4Q2000,2000 -- 12,2000,0,otranto,40.143898,18.491168,"40.143898, 18.491168"
unknown,2000-12-05T00:00:00Z,4Q2000,2000 -- 12,2000,0,cadiz,36.527061,-6.288596,"36.527061, -6.288596"
unknown,2000-12-04T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
unknown,2000-12-04T00:00:00Z,4Q2000,2000 -- 12,2000,0,Albania to Greece,40.261643,20.786133,"40.261643, 20.786133"
unknown,2000-12-03T00:00:00Z,4Q2000,2000 -- 12,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-12-02T00:00:00Z,4Q2000,2000 -- 12,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
unknown,2000-11-30T00:00:00Z,4Q2000,2000 -- 11,2000,0,melilla,35.292278,-2.938097,"35.292278, -2.938097"
unknown,2000-11-19T00:00:00Z,4Q2000,2000 -- 11,2000,2,sava,40.403712,17.557323,"40.403712, 17.557323"
unknown,2000-11-14T00:00:00Z,4Q2000,2000 -- 11,2000,0,"van province, turkey",38.367942,43.718279,"38.367942, 43.718279"
unknown,2000-11-12T00:00:00Z,4Q2000,2000 -- 11,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-11-01T00:00:00Z,4Q2000,2000 -- 11,2000,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
unknown,2000-10-31T00:00:00Z,4Q2000,2000 -- 10,2000,0,kastoria,40.519269,21.268717,"40.519269, 21.268717"
unknown,2000-10-29T00:00:00Z,4Q2000,2000 -- 10,2000,0,mayotte,-12.8275,45.166244,"-12.8275, 45.166244"
unknown,2000-10-29T00:00:00Z,4Q2000,2000 -- 10,2000,0,"Szombathely, Hungary",47.230685,16.621844,"47.230685, 16.621844"
unknown,2000-10-25T00:00:00Z,4Q2000,2000 -- 10,2000,0,ancona,43.61583,13.518915,"43.61583, 13.518915"
unknown,2000-10-04T00:00:00Z,4Q2000,2000 -- 10,2000,0,iran,32.427908,53.688046,"32.427908, 53.688046"
unknown,2000-10-03T00:00:00Z,4Q2000,2000 -- 10,2000,0,Czech Republic,49.817492,15.472962,"49.817492, 15.472962"
unknown,2000-01-06T00:00:00Z,1Q2000,2000 -- 1,2000,0,komotini,41.122439,25.406558,"41.122439, 25.406558"
asphyxiated,2001-09-07T00:00:00Z,3Q2001,2001 -- 9,2001,0,ceuta,35.888384,-5.324636,"35.888384, -5.324636"
asphyxiated,2001-08-12T00:00:00Z,3Q2001,2001 -- 8,2001,0,coruna,43.362344,-8.41154,"43.362344, -8.41154"
asphyxiated,2001-08-11T00:00:00Z,3Q2001,2001 -- 8,2001,0,belgium,50.503887,4.469936,"50.503887, 4.469936"
asphyxiated,2001-07-14T00:00:00Z,3Q2001,2001 -- 7,2001,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
asphyxiated,2001-06-26T00:00:00Z,2Q2001,2001 -- 6,2001,0,Spanish coast,37.931706,-0.660553,"37.931706, -0.660553"
asphyxiated,2001-02-07T00:00:00Z,1Q2001,2001 -- 2,2001,0,brindisi,40.632728,17.941762,"40.632728, 17.941762"
asphyxiated,2001-12-11T00:00:00Z,4Q2001,2001 -- 12,2001,0,livorno,43.548473,10.310567,"43.548473, 10.310567"
asphyxiated,2001-12-08T00:00:00Z,4Q2001,2001 -- 12,2001,0,Ireland,53.41291,-8.24389,"53.41291, -8.24389"
asphyxiated,2001-11-11T00:00:00Z,4Q2001,2001 -- 11,2001,0,livorno,43.548473,10.310567,"43.548473, 10.310567"
asphyxiated,2001-11-11T00:00:00Z,4Q2001,2001 -- 11,2001,0,Livorno,43.548473,10.310567,"43.548473, 10.310567"
asphyxiated,2001-01-04T00:00:00Z,1Q2001,2001 -- 1,2001,0,niger,17.607789,8.081666,"17.607789, 8.081666"
drowned,2001-09-11T00:00:00Z,3Q2001,2001 -- 9,2001,0,fuerteventura,28.358744,-14.053676,"28.358744, -14.053676"
drowned,2001-09-08T00:00:00Z,3Q2001,2001 -- 9,2001,0,rabat,34.015049,-6.83272,"34.015049, -6.83272"
drowned,2001-09-08T00:00:00Z,3Q2001,2001 -- 9,2001,0,kenitra,34.264061,-6.578296,"34.264061, -6.578296"
drowned,2001-09-07T00:00:00Z,3Q2001,2001 -- 9,2001,0,tarifa,36.018776,-5.600819,"36.018776, -5.600819"
drowned,2001-08-22T00:00:00Z,3Q2001,2001 -- 8,2001,0,canary,28.291564,-16.62913,"28.291564, -16.62913"
drowned,2001-08-21T00:00:00Z,3Q2001,2001 -- 8,2001,0,"Almeria, Spain",36.834047,-2.463714,"36.834047, -2.463714"
